sku,centro,model_first_flag,actual_first_markdown,delta_weeks
HK1123202OSAA100,AB75,2023-08-21,2023-08-21,0.0
HK1123202OSAA105,AB75,2023-08-21,2023-08-21,0.0
HK1123202OSAA110,7501,2025-01-27,2025-01-27,0.0
HK1123202OSAA110,AB75,2023-10-16,2023-10-16,0.0
HK1123202OSAA115,AB75,2024-02-26,2024-02-26,0.0
HK1123202OSAA120,7501,2024-11-11,2024-11-11,0.0
HK1123202OSAA120,AB75,2024-02-19,2024-02-19,0.0
HK1126851BCSTL090,7501,2025-05-05,2025-05-05,0.0
HK1126851BCSTL090,AB75,2025-12-01,2025-12-01,0.0
HK1126851BCSTL095,7501,2026-03-02,2026-03-02,0.0
HK1126851BCSTL100,AB75,2025-08-11,2025-08-11,0.0
HK1126851BCSTL105,7501,2025-09-29,2025-09-29,0.0
HK1126851BCSTL110,7501,2025-09-15,2025-09-15,0.0
HK1126851BCSTL110,AB75,2025-06-16,2025-06-16,0.0
HK1126851BCSTL115,7501,2026-02-23,2026-03-02,1.0
HK1126851BCSTL115,AB75,2025-08-25,2025-08-25,0.0
HK1127893BCSTL085,AB75,2023-10-23,2023-10-23,0.0
HK1127893BCSTL090,AB75,2024-01-08,2023-08-21,-20.0
HK1127893BCSTL095,AB75,2023-12-18,2023-12-18,0.0
HK1127893BCSTL100,AB75,2023-10-30,2023-08-21,-10.0
HK1127893BCSTL105,AB75,2023-10-30,2023-10-30,0.0
HK1127893BCSTL115,AB75,2024-02-12,2024-02-12,0.0
HK1127893BCSTL120,AB75,2024-03-11,2024-03-11,0.0
HK1127893BKML080,AB75,2024-02-26,2024-02-26,0.0
HK1127893BKML085,AB75,2024-02-19,2024-02-19,0.0
HK1127893BKML090,AB75,2023-12-25,2023-12-25,0.0
HK1127893BKML115,AB75,2023-12-11,2023-12-11,0.0
HK1127893MSPBL085,AB75,2023-08-21,2023-08-21,0.0
HK1127893MSPBL090,AB75,2023-10-02,2023-10-02,0.0
HK1127893MSPBL095,AB75,2023-10-23,2023-10-23,0.0
HK1127893MSPBL100,AB75,2023-08-21,2023-08-21,0.0
HK1127893MSPBL105,AB75,2023-08-28,2023-08-28,0.0
HK1127893MSPBL110,AB75,2023-08-21,2023-08-21,0.0
HK1127894BKML060,AB75,2024-08-05,2024-08-05,0.0
HK1127894BKML065,AB75,2024-01-08,2024-01-08,0.0
HK1127894BKML070,AB75,2024-01-15,2024-01-15,0.0
HK1127894BKML075,AB75,2024-01-22,2024-01-22,0.0
HK1127894BKML080,AB75,2024-01-01,2024-01-01,0.0
HK1127894BKML090,AB75,2024-04-15,2024-04-15,0.0
HK1127894CPPF055,AB75,2023-10-09,2023-10-09,0.0
HK1127894CPPF065,7501,2024-11-04,2024-11-04,0.0
HK1127894CPPF065,AB75,2023-08-28,2023-09-04,1.0
HK1127894CPPF080,AB75,2023-10-09,2023-10-09,0.0
HK1127894CPPF085,AB75,2023-08-28,2023-08-28,0.0
HK1127895BBLC085,AB75,2024-09-02,2024-09-02,0.0
HK1127895BBLC090,AB75,2023-09-18,2023-09-18,0.0
HK1127895BBLC095,AB75,2023-11-06,2023-11-06,0.0
HK1127895BBLC100,AB75,2023-09-18,2023-09-18,0.0
HK1127895BBLC105,AB75,2023-09-04,2023-09-04,0.0
HK1127895BBLC110,AB75,2023-10-30,2023-10-30,0.0
HK1127895BBLC115,AB75,2023-10-09,2023-10-09,0.0
HK1127895BBLC120,AB75,2023-09-25,2023-09-25,0.0
HK1127895BLCKS080,AB75,2024-08-19,2024-08-19,0.0
HK1127895BLCKS090,7501,2024-10-28,2024-10-28,0.0
HK1127895BLCKS090,AB75,2024-07-29,2024-07-29,0.0
HK1127895BLCKS095,AB75,2024-08-05,2024-08-05,0.0
HK1127895BLCKS110,AB75,2024-09-09,2024-09-09,0.0
HK1127895BLCKS120,AB75,2024-08-19,2024-08-19,0.0
HK1127895BWHT080,AB75,2023-12-25,2023-12-25,0.0
HK1127895BWHT085,AB75,2023-10-30,2023-10-30,0.0
HK1127895BWHT090,7501,2024-11-18,2024-11-25,1.0
HK1127895BWHT090,AB75,2023-08-28,2023-08-28,0.0
HK1127895BWHT095,AB75,2023-09-18,2023-09-18,0.0
HK1127895BWHT100,7501,2024-11-11,2024-11-18,1.0
HK1127895BWHT100,AB75,2023-08-28,2023-08-28,0.0
HK1127895BWHT105,AB75,2023-09-18,2023-09-18,0.0
HK1127895BWHT110,AB75,2023-12-18,2023-08-21,-17.0
HK1127895BWHT115,AB75,2023-10-09,2023-10-09,0.0
HK1127895BWHT120,AB75,2023-09-11,2023-09-11,0.0
HK1127895CRSCL080,AB75,2024-08-19,2024-08-19,0.0
HK1127895CRSCL085,AB75,2024-07-15,2024-07-15,0.0
HK1127895CRSCL090,7501,2024-10-21,2024-10-21,0.0
HK1127895CRSCL090,AB75,2024-07-29,2024-07-29,0.0
HK1127895CRSCL095,7501,2024-11-04,2024-11-04,0.0
HK1127895CRSCL095,AB75,2024-10-28,2024-10-28,0.0
HK1127895CRSCL100,AB75,2024-09-02,2024-09-02,0.0
HK1127895CRSCL110,AB75,2024-08-19,2024-08-19,0.0
HK1127895CRSCL120,AB75,2024-08-26,2024-08-26,0.0
HK1127895FVOR080,AB75,2023-11-13,2023-11-13,0.0
HK1127895FVOR085,AB75,2023-12-04,2023-12-04,0.0
HK1127895FVOR090,AB75,2024-03-11,2024-03-11,0.0
HK1127895FVOR095,AB75,2024-01-15,2024-01-15,0.0
HK1127895FVOR100,AB75,2023-11-13,2023-11-13,0.0
HK1127895FVOR105,AB75,2023-11-27,2023-11-27,0.0
HK1127895FVOR110,AB75,2024-01-08,2024-01-08,0.0
HK1127895FVOR120,AB75,2023-11-20,2023-11-20,0.0
HK1127895HMBC090,AB75,2024-10-28,2024-10-28,0.0
HK1127895HMBC100,AB75,2024-11-25,2024-11-25,0.0
HK1127895HMBC110,7501,2025-03-17,2025-03-17,0.0
HK1127895HMBC110,AB75,2024-10-28,2024-10-28,0.0
HK1127895HMBC120,7501,2024-12-09,2024-12-09,0.0
HK1127895MCN090,AB75,2025-02-17,2025-02-17,0.0
HK1127895MCN095,7501,2025-01-27,2025-01-27,0.0
HK1127895MCN095,AB75,2025-02-10,2025-02-10,0.0
HK1127895MCN100,7501,2025-01-27,2025-01-27,0.0
HK1127895MCN100,AB75,2025-02-10,2025-02-10,0.0
HK1127895MCN105,AB75,2025-01-20,2025-01-20,0.0
HK1127895MCN110,AB75,2025-02-17,2025-02-17,0.0
HK1127895MCN115,7501,2025-03-03,2025-03-03,0.0
HK1127895MCN120,AB75,2025-04-21,2025-04-21,0.0
HK1127895SLRL105,7501,2025-01-20,2025-01-20,0.0
HK1127895SLRL105,AB75,2024-12-16,2024-12-16,0.0
HK1127895SLRL120,AB75,2024-12-16,2024-12-16,0.0
HK1127895VOIM080,AB75,2023-08-28,2023-08-28,0.0
HK1127895VOIM085,AB75,2023-10-16,2023-10-16,0.0
HK1127895VOIM090,AB75,2023-09-18,2023-09-18,0.0
HK1127895VOIM095,AB75,2023-08-28,2023-08-21,-1.0
HK1127895VOIM100,AB75,2023-09-18,2023-08-21,-4.0
HK1127895VOIM105,AB75,2023-10-23,2023-10-23,0.0
HK1127895VOIM110,AB75,2023-08-21,2023-08-21,0.0
HK1127895VOIM115,AB75,2023-08-28,2023-08-28,0.0
HK1127895VOIM120,AB75,2024-04-01,2023-08-21,-32.0
HK1127896BBLC060,7501,2024-11-04,2024-11-04,0.0
HK1127896BBLC060,AB75,2024-12-09,2024-12-09,0.0
HK1127896BBLC065,7501,2024-11-04,2024-11-04,0.0
HK1127896BBLC065,AB75,2024-12-09,2024-12-09,0.0
HK1127896BBLC075,7501,2024-11-04,2024-11-04,0.0
HK1127896BBLC080,AB75,2024-11-04,2024-11-04,0.0
HK1127896BBLC085,AB75,2024-11-18,2024-11-18,0.0
HK1127896BWHT055,AB75,2023-12-18,2023-12-18,0.0
HK1127896BWHT065,7501,2025-03-10,2025-03-10,0.0
HK1127896BWHT065,AB75,2023-09-18,2023-09-18,0.0
HK1127896BWHT070,7501,2025-03-10,2025-03-10,0.0
HK1127896BWHT070,AB75,2023-10-30,2023-10-30,0.0
HK1127896BWHT075,AB75,2023-12-04,2023-12-04,0.0
HK1127896BWHT080,AB75,2023-09-04,2023-09-04,0.0
HK1127896BWHT085,AB75,2023-11-13,2023-11-13,0.0
HK1127896BWHT090,AB75,2023-12-18,2023-12-18,0.0
HK1127896CRSCL055,7501,2025-05-26,2025-05-26,0.0
HK1127896CRSCL060,AB75,2024-07-29,2024-07-29,0.0
HK1127896CRSCL065,AB75,2024-09-16,2024-09-16,0.0
HK1127896CRSCL070,AB75,2024-07-29,2024-07-29,0.0
HK1127896CRSCL075,AB75,2024-10-21,2024-10-21,0.0
HK1127896CRSCL080,AB75,2024-11-25,2024-11-25,0.0
HK1127896CRSCL090,AB75,2024-09-30,2024-09-30,0.0
HK1127896CSLC055,AB75,2023-09-25,2023-09-25,0.0
HK1127896CSLC060,AB75,2023-09-18,2023-09-18,0.0
HK1127896CSLC065,AB75,2023-08-28,2023-08-28,0.0
HK1127896CSLC070,7501,2024-10-14,2024-10-14,0.0
HK1127896CSLC070,AB75,2023-08-21,2023-08-21,0.0
HK1127896CSLC075,AB75,2023-08-28,2023-08-21,-1.0
HK1127896CSLC080,AB75,2023-09-04,2023-10-09,5.0
HK1127896CSLC085,AB75,2023-08-21,2023-08-21,0.0
HK1127896CSLC090,7501,2024-12-02,2024-12-02,0.0
HK1127896CSLC090,AB75,2023-09-11,2023-09-11,0.0
HK1127896DNK055,7501,2025-02-17,2025-02-17,0.0
HK1127896DNK065,7501,2025-01-06,2025-01-06,0.0
HK1127896DNK075,AB75,2024-12-16,2024-12-16,0.0
HK1127896DNK080,7501,2024-12-16,2024-12-16,0.0
HK1127896DNK080,AB75,2024-12-09,2024-12-09,0.0
HK1127896DNK085,7501,2025-01-20,2025-01-20,0.0
HK1127896DNK085,AB75,2024-12-16,2024-12-16,0.0
HK1127896FCK060,7501,2025-02-17,2025-02-17,0.0
HK1127896FCK065,AB75,2025-01-13,2025-01-13,0.0
HK1127896FCK070,AB75,2024-12-16,2024-12-16,0.0
HK1127896FCK075,AB75,2024-12-23,2024-12-23,0.0
HK1127896FCK080,7501,2024-12-16,2024-12-16,0.0
HK1127896RSRW055,AB75,2024-04-01,2024-04-01,0.0
HK1127896RSRW060,AB75,2024-02-05,2024-02-05,0.0
HK1127896RSRW065,7501,2024-10-14,2024-10-14,0.0
HK1127896RSRW065,AB75,2023-11-27,2023-11-27,0.0
HK1127896RSRW070,AB75,2024-01-15,2024-01-15,0.0
HK1127896RSRW075,AB75,2023-11-20,2023-11-20,0.0
HK1127896RSRW080,AB75,2023-12-04,2023-12-04,0.0
HK1127896RSRW085,AB75,2024-01-08,2024-01-08,0.0
HK1127896RSRW090,AB75,2023-12-11,2023-12-11,0.0
HK1127896SOLM055,7501,2024-10-28,2024-10-28,0.0
HK1127896SOLM060,AB75,2024-07-01,2024-07-01,0.0
HK1127896SOLM065,AB75,2024-06-10,2024-06-10,0.0
HK1127896SOLM070,AB75,2024-08-26,2024-08-26,0.0
HK1127896SOLM075,AB75,2024-07-08,2024-07-08,0.0
HK1127896SOLM080,AB75,2024-05-20,2024-05-20,0.0
HK1127896SOLM090,AB75,2024-07-29,2024-07-29,0.0
HK1127914CSRB080,7501,2025-01-20,2025-01-20,0.0
HK1127914CSRB080,AB75,2024-04-29,2024-04-29,0.0
HK1127914CSRB090,7501,2025-01-27,2025-01-27,0.0
HK1127914CSRB095,7501,2025-02-10,2025-02-10,0.0
HK1127914CSRB095,AB75,2024-07-01,2024-07-01,0.0
HK1127914CSRB100,7501,2025-01-20,2025-01-20,0.0
HK1127914CSRB100,AB75,2024-12-09,2024-12-09,0.0
HK1127914CSRB105,7501,2025-01-20,2025-01-20,0.0
HK1127914CSRB105,AB75,2024-12-23,2024-12-23,0.0
HK1127914CSRB110,AB75,2024-09-09,2024-09-09,0.0
HK1127914CSRB115,7501,2025-01-20,2025-01-20,0.0
HK1127914CSRB120,7501,2025-01-27,2025-01-27,0.0
HK1127914SLRL080,7501,2025-02-17,2025-02-17,0.0
HK1127914SLRL085,7501,2025-02-17,2025-02-17,0.0
HK1127914SLRL090,7501,2025-01-27,2025-01-27,0.0
HK1127914SLRL090,AB75,2024-05-27,2024-05-27,0.0
HK1127914SLRL095,7501,2025-02-24,2025-02-24,0.0
HK1127914SLRL095,AB75,2024-06-17,2024-06-17,0.0
HK1127914SLRL100,7501,2025-02-03,2025-02-03,0.0
HK1127914SLRL105,7501,2025-01-27,2025-01-27,0.0
HK1127914SLRL110,7501,2025-01-20,2025-01-20,0.0
HK1127914SLRL110,AB75,2024-04-29,2024-04-29,0.0
HK1127914SLRL115,7501,2025-02-24,2025-02-24,0.0
HK1127914VTT080,7501,2025-01-27,2025-01-27,0.0
HK1127914VTT090,7501,2025-02-03,2025-02-03,0.0
HK1127914VTT100,7501,2024-12-02,2024-12-02,0.0
HK1127914VTT105,7501,2024-10-28,2024-10-28,0.0
HK1127914VTT120,7501,2025-01-20,2025-01-20,0.0
HK1127914VTT120,AB75,2024-08-12,2024-08-12,0.0
HK1127915NSOF055,7501,2025-01-27,2025-01-27,0.0
HK1127915NSOF060,7501,2025-03-10,2025-03-10,0.0
HK1127915NSOF060,AB75,2024-08-26,2024-08-26,0.0
HK1127915NSOF065,7501,2024-11-25,2024-11-25,0.0
HK1127915NSOF065,AB75,2024-04-29,2024-04-29,0.0
HK1127915NSOF070,7501,2024-11-25,2024-11-25,0.0
HK1127915NSOF070,AB75,2024-07-22,2024-07-22,0.0
HK1127915NSOF075,7501,2024-12-09,2024-12-09,0.0
HK1127915NSOF075,AB75,2024-08-05,2024-08-05,0.0
HK1127915NSOF080,7501,2025-02-03,2025-02-03,0.0
HK1127915NSOF080,AB75,2024-12-09,2024-12-09,0.0
HK1127915NSOF090,7501,2025-01-20,2025-01-20,0.0
HK1127915NSOF090,AB75,2024-07-01,2024-07-01,0.0
HK1127915PPYR055,7501,2025-08-18,2025-08-18,0.0
HK1127915PPYR060,7501,2025-04-21,2025-04-21,0.0
HK1127915PPYR065,7501,2025-02-17,2025-02-17,0.0
HK1127915PPYR070,7501,2025-04-07,2025-04-07,0.0
HK1127915PPYR075,7501,2025-01-20,2025-01-20,0.0
HK1127915PPYR080,7501,2025-01-27,2025-01-27,0.0
HK1127915PPYR080,AB75,2024-11-11,2024-11-11,0.0
HK1127915PPYR085,7501,2025-02-03,2025-02-03,0.0
HK1127915PPYR090,7501,2025-01-20,2025-01-20,0.0
HK1127918BBLC080,AB75,2024-01-08,2024-01-08,0.0
HK1127918BBLC085,AB75,2023-11-20,2023-11-20,0.0
HK1127918BBLC090,AB75,2024-05-20,2024-05-20,0.0
HK1127918BBLC095,AB75,2024-04-15,2024-04-15,0.0
HK1127918BBLC100,AB75,2023-10-30,2023-10-30,0.0
HK1127918BBLC110,AB75,2024-02-12,2024-02-12,0.0
HK1127918BBLC115,AB75,2024-03-04,2024-03-04,0.0
HK1127918BBLC120,AB75,2023-08-28,2023-08-28,0.0
HK1127920GLXY080,7501,2025-09-15,2025-09-15,0.0
HK1127920GLXY080,AB75,2025-04-21,2025-04-21,0.0
HK1127920GLXY085,7501,2024-11-18,2024-11-18,0.0
HK1127920GLXY090,7501,2024-11-18,2024-11-18,0.0
HK1127920GLXY095,7501,2025-08-04,2025-08-04,0.0
HK1127920GLXY100,7501,2025-07-28,2025-07-28,0.0
HK1127920GLXY105,7501,2025-06-23,2025-06-23,0.0
HK1127920GLXY105,AB75,2024-12-09,2024-12-09,0.0
HK1127920GLXY120,7501,2025-10-06,2025-10-06,0.0
HK1127920GLXY125,7501,2025-07-28,2025-07-28,0.0
HK1127921OTPW055,7501,2025-12-15,2025-12-15,0.0
HK1127921OTPW060,7501,2026-01-19,2026-01-19,0.0
HK1127921OTPW065,7501,2025-11-17,2025-11-24,1.0
HK1127921OTPW065,AB75,2025-01-06,2025-01-06,0.0
HK1127921OTPW070,7501,2025-11-17,2025-12-01,2.0
HK1127921OTPW075,7501,2025-04-07,2025-04-07,0.0
HK1127921OTPW075,AB75,2025-05-05,2025-05-05,0.0
HK1127927BKML065,7501,2025-04-21,2025-04-21,0.0
HK1127927BKML070,7501,2025-03-31,2025-03-31,0.0
HK1127927BKML080,AB75,2024-01-15,2024-01-15,0.0
HK1127927BKML085,AB75,2024-04-08,2024-04-08,0.0
HK1127927BKML090,AB75,2024-02-26,2024-02-26,0.0
HK1127927CEPR075,7501,2025-04-21,2025-04-21,0.0
HK1127927CEPR080,AB75,2023-12-04,2023-08-21,-15.0
HK1127927CEPR085,AB75,2023-09-04,2023-09-04,0.0
HK1127927CEPR090,7501,2024-10-14,2024-10-14,0.0
HK1127927CEPR090,AB75,2023-10-02,2023-10-02,0.0
HK1127927CEPR095,AB75,2023-12-04,2023-12-04,0.0
HK1127927CEPR100,AB75,2023-08-21,2023-08-28,1.0
HK1127927CEPR105,AB75,2023-12-04,2023-08-21,-15.0
HK1127927CEPR110,AB75,2023-12-11,2023-12-11,0.0
HK1127927CEPR120,AB75,2023-11-20,2023-11-20,0.0
HK1127927LCS080,7501,2025-09-29,2025-09-29,0.0
HK1127927LCS085,7501,2025-03-03,2025-03-03,0.0
HK1127927LCS100,7501,2025-03-03,2025-03-03,0.0
HK1127927LCS105,7501,2025-03-17,2025-03-17,0.0
HK1127927YZC065,7501,2025-09-22,2025-09-22,0.0
HK1127927YZC065,AB75,2025-07-28,2025-07-28,0.0
HK1127927YZC070,7501,2025-09-29,2025-09-29,0.0
HK1127927YZC075,7501,2025-08-25,2025-08-25,0.0
HK1127927YZC080,7501,2025-09-08,2025-09-08,0.0
HK1127927YZC080,AB75,2025-06-30,2025-06-30,0.0
HK1127927YZC085,7501,2025-09-22,2025-09-22,0.0
HK1127927YZC090,7501,2025-09-15,2025-09-15,0.0
HK1127927YZC090,7502,2025-11-24,2025-11-24,0.0
HK1127927YZC095,7501,2025-09-22,2025-09-22,0.0
HK1127927YZC100,7501,2025-07-21,2025-07-21,0.0
HK1127927YZC105,7501,2025-07-14,2025-07-14,0.0
HK1127927YZC110,7501,2025-10-13,2025-10-13,0.0
HK1127927YZC115,7501,2025-06-23,2025-06-23,0.0
HK1127927YZC115,AB75,2025-11-24,2025-11-24,0.0
HK1127927YZC120,7501,2025-09-01,2025-09-01,0.0
HK1127929BWHT085,7501,2025-11-24,2025-11-24,0.0
HK1127929BWHT085,AB75,2025-10-13,2025-10-13,0.0
HK1127929BWHT090,7501,2025-09-29,2025-09-29,0.0
HK1127929BWHT090,AB75,2026-03-02,2026-03-02,0.0
HK1127929BWHT095,7501,2026-02-16,2026-02-16,0.0
HK1127929BWHT095,7502,2026-02-23,2026-03-02,1.0
HK1127929BWHT100,7501,2025-11-24,2025-11-24,0.0
HK1127929BWHT100,7502,2026-03-09,2026-03-16,1.0
HK1127929BWHT105,7502,2025-10-06,2025-10-06,0.0
HK1127929BWHT110,7502,2025-09-29,2025-09-29,0.0
HK1127929BWHT115,7501,2025-11-24,2025-11-24,0.0
HK1127929BWHT115,7502,2026-03-02,2026-03-02,0.0
HK1127929BWHT120,7502,2026-01-12,2026-01-12,0.0
HK1127929BWHT125,AB75,2025-10-13,2025-10-13,0.0
HK1127952ABSO055,AB75,2023-12-25,2023-12-25,0.0
HK1127952ABSO060,AB75,2023-11-13,2023-11-13,0.0
HK1127952ABSO065,AB75,2023-12-11,2023-12-11,0.0
HK1127952ABSO070,AB75,2023-12-04,2023-12-04,0.0
HK1127952ABSO075,AB75,2023-11-27,2023-11-27,0.0
HK1127952ABSO080,AB75,2023-11-27,2023-11-27,0.0
HK1127952ABSO085,AB75,2024-01-08,2024-01-08,0.0
HK1127952ABSO090,AB75,2024-02-19,2024-02-19,0.0
HK1127952BBLC055,7501,2024-12-02,2024-12-02,0.0
HK1127952BBLC065,7501,2024-11-11,2024-11-11,0.0
HK1127952BBLC065,AB75,2024-10-21,2024-10-21,0.0
HK1127952BBLC070,7501,2024-11-04,2024-11-04,0.0
HK1127952BBLC075,AB75,2024-10-21,2024-10-21,0.0
HK1127952BBLC080,7501,2024-12-02,2024-12-02,0.0
HK1127952BBLC080,AB75,2024-11-11,2024-11-11,0.0
HK1127952BBLC090,AB75,2024-11-04,2024-11-04,0.0
HK1127952BSW055,AB75,2024-07-29,2024-07-29,0.0
HK1127952BSW060,7501,2025-05-19,2025-05-19,0.0
HK1127952BSW065,7501,2024-12-02,2024-12-02,0.0
HK1127952BSW070,7501,2025-03-17,2025-03-17,0.0
HK1127952BSW070,AB75,2024-08-26,2024-08-26,0.0
HK1127952BSW080,7501,2024-11-25,2024-11-25,0.0
HK1127952BSW080,AB75,2024-07-01,2024-07-01,0.0
HK1127952BSW085,AB75,2024-07-15,2024-07-15,0.0
HK1127952BWHT055,7501,2025-07-21,2025-07-21,0.0
HK1127952BWHT055,AB75,2023-09-04,2023-09-04,0.0
HK1127952BWHT060,7501,2025-04-28,2025-04-28,0.0
HK1127952BWHT065,7501,2025-05-12,2025-05-12,0.0
HK1127952BWHT065,AB75,2023-11-20,2023-11-20,0.0
HK1127952BWHT070,7501,2025-03-17,2025-03-17,0.0
HK1127952BWHT070,AB75,2023-09-18,2023-09-18,0.0
HK1127952BWHT075,7501,2024-11-04,2024-11-04,0.0
HK1127952BWHT075,AB75,2023-08-28,2023-08-28,0.0
HK1127952BWHT080,7501,2025-03-10,2025-03-10,0.0
HK1127952BWHT080,AB75,2024-02-05,2023-08-21,-24.0
HK1127952BWHT085,AB75,2024-01-29,2024-01-29,0.0
HK1127952BWHT090,AB75,2023-09-18,2023-09-18,0.0
HK1127952CPPY055,7501,2025-04-21,2025-04-21,0.0
HK1127952CPPY065,AB75,2024-11-04,2024-11-04,0.0
HK1127952CPPY075,AB75,2024-07-15,2024-07-15,0.0
HK1127952CPPY080,AB75,2024-05-27,2024-05-27,0.0
HK1127952CPPY085,AB75,2024-05-13,2024-05-13,0.0
HK1127952CPPY090,AB75,2024-10-28,2024-10-28,0.0
HK1127952CRSCL055,AB75,2024-10-28,2024-10-28,0.0
HK1127952CRSCL060,AB75,2024-09-23,2024-09-23,0.0
HK1127952CRSCL070,AB75,2024-08-19,2024-08-19,0.0
HK1127952CRSCL075,7501,2024-11-11,2024-11-11,0.0
HK1127952EQB070,7501,2025-01-13,2025-01-13,0.0
HK1127952EQB075,7501,2025-01-27,2025-01-27,0.0
HK1127952EQB075,AB75,2024-12-16,2024-12-16,0.0
HK1127952EQB080,7501,2024-12-23,2024-12-23,0.0
HK1127952LMG060,AB75,2024-10-21,2024-10-21,0.0
HK1127952LMG065,7501,2025-05-12,2025-05-12,0.0
HK1127952LMG070,AB75,2024-07-01,2024-07-01,0.0
HK1127952LMG075,AB75,2024-08-26,2024-08-26,0.0
HK1127952LMG080,AB75,2024-11-04,2024-11-04,0.0
HK1127952LMG085,AB75,2024-06-24,2024-06-24,0.0
HK1127952LMG090,AB75,2025-03-10,2025-03-10,0.0
HK1127952SSCA065,AB75,2023-09-18,2023-08-21,-4.0
HK1127952SSCA070,AB75,2023-09-04,2023-09-04,0.0
HK1127952SSCA075,AB75,2023-08-28,2023-08-28,0.0
HK1127952SSCA080,AB75,2023-09-18,2023-09-18,0.0
HK1127952WWH060,AB75,2024-11-11,2024-11-11,0.0
HK1127952WWH070,AB75,2024-11-11,2024-11-11,0.0
HK1127952WWH080,AB75,2024-10-28,2024-10-28,0.0
HK1127952WWH090,7501,2024-12-09,2024-12-09,0.0
HK1129930AQL080,7501,2025-04-28,2025-04-28,0.0
HK1129930AQL080,AB75,2025-08-25,2025-08-25,0.0
HK1129930AQL085,7501,2025-05-19,2025-05-19,0.0
HK1129930AQL085,AB75,2025-03-31,2025-03-31,0.0
HK1129930AQL090,7501,2025-10-13,2025-10-13,0.0
HK1129930AQL095,AB75,2025-04-28,2025-04-28,0.0
HK1129930AQL100,7501,2025-05-12,2025-05-12,0.0
HK1129930AQL105,7501,2025-06-09,2025-06-09,0.0
HK1129930AQL105,AB75,2025-04-21,2025-04-21,0.0
HK1129930AQL110,AB75,2025-05-26,2025-05-26,0.0
HK1129930AQL115,7501,2025-10-13,2025-10-13,0.0
HK1129930AQL115,AB75,2025-12-01,2025-12-01,0.0
HK1129930AQL120,7501,2025-06-23,2025-06-23,0.0
HK1129930AQL120,AB75,2026-02-02,2026-02-02,0.0
HK1129930CKBC085,AB75,2024-05-27,2024-05-27,0.0
HK1129930CKBC090,AB75,2024-05-20,2024-05-20,0.0
HK1129930CKBC095,AB75,2024-06-24,2024-06-24,0.0
HK1129930CKBC100,AB75,2024-05-27,2024-05-27,0.0
HK1129930CKBC110,AB75,2024-08-05,2024-08-05,0.0
HK1129930CKBC120,7501,2025-01-13,2025-01-13,0.0
HK1129930CKBC120,AB75,2024-05-20,2024-05-20,0.0
HK1129930CTRM090,7501,2025-01-27,2025-01-27,0.0
HK1129930CTRM095,7501,2024-12-23,2024-12-23,0.0
HK1129930CTRM100,AB75,2025-02-24,2025-02-24,0.0
HK1129930CTRM115,AB75,2025-02-10,2025-02-10,0.0
HK1129930MRZ080,7501,2025-05-12,2025-05-19,1.0
HK1129930MRZ080,AB75,2025-05-05,2025-05-05,0.0
HK1129930MRZ085,7501,2025-04-21,2025-04-21,0.0
HK1129930MRZ085,AB75,2025-04-07,2025-04-07,0.0
HK1129930MRZ090,7501,2025-07-28,2025-07-28,0.0
HK1129930MRZ095,7501,2025-03-31,2025-03-31,0.0
HK1129930MRZ095,AB75,2025-09-01,2025-09-01,0.0
HK1129930MRZ100,7501,2025-08-04,2025-08-04,0.0
HK1129930MRZ100,AB75,2025-05-05,2025-05-05,0.0
HK1129930MRZ105,7501,2025-05-19,2025-05-19,0.0
HK1129930MRZ105,AB75,2025-03-31,2025-03-31,0.0
HK1129930MRZ110,7501,2025-04-21,2025-04-21,0.0
HK1129930MRZ110,AB75,2025-04-21,2025-04-21,0.0
HK1129930MRZ115,7501,2025-04-07,2025-04-07,0.0
HK1129930MRZ115,AB75,2025-05-05,2025-05-05,0.0
HK1129930MRZ120,AB75,2025-06-02,2025-06-02,0.0
HK1131056DTF055,7501,2025-05-12,2025-05-12,0.0
HK1131056DTF055,AB75,2026-02-02,2026-02-02,0.0
HK1131056DTF065,7501,2025-10-13,2025-10-13,0.0
HK1131056DTF065,AB75,2025-09-22,2025-09-22,0.0
HK1131056DTF070,7501,2025-06-09,2025-06-09,0.0
HK1131056DTF075,7501,2025-06-02,2025-06-02,0.0
HK1131056DTF075,AB75,2025-05-26,2025-05-26,0.0
HK1131056DTF080,7501,2025-05-12,2025-05-12,0.0
HK1131056DTF080,AB75,2025-04-28,2025-04-28,0.0
HK1131056DTF085,7501,2025-05-12,2025-05-19,1.0
HK1131056DTF085,AB75,2025-09-01,2025-09-01,0.0
HK1131056DTF090,7501,2025-06-30,2025-06-30,0.0
HK1131056NSOF055,7501,2025-05-26,2025-05-26,0.0
HK1131056NSOF070,7501,2025-10-13,2025-10-13,0.0
HK1131056NSOF075,7501,2024-12-09,2024-12-09,0.0
HK1131056NSOF080,AB75,2024-09-02,2024-09-02,0.0
HK1131056NSOF085,7501,2024-11-11,2024-11-11,0.0
HK1131056NSOF085,AB75,2024-07-15,2024-07-15,0.0
HK1131056NSOF090,7501,2024-12-09,2024-12-09,0.0
HK1131056NSOF090,AB75,2024-07-29,2024-07-29,0.0
HK1134150BBLC080,AB75,2024-01-22,2024-01-22,0.0
HK1134150BBLC090,AB75,2024-01-08,2024-01-08,0.0
HK1134150BBLC100,AB75,2024-01-29,2023-08-21,-23.0
HK1134235BWHT055,7501,2025-11-03,2025-11-03,0.0
HK1134235BWHT055,7502,2025-11-24,2025-11-24,0.0
